-1 73091
stream uID   dID     length      uB     uBT    dB    dBT
143 819	742	1206.232	-1	-1	-1	-1
144 754	742	858.5	-1	-1	-1	-1
145 593	562	379.788	-1	-1	-1	-1
146 606	593	214.427	-1	-1	-1	-1
147 663	593	1514.483	-1	-1	-1	-1
148 731	663	688.45	-1	-1	-1	-1
149 727	663	1407.054	-1	-1	-1	-1
150 434	432	19.459	-1	-1	-1	-1
151 471	434	450.275	-1	-1	-1	-1
152 502	471	563.798	-1	-1	-1	-1
153 488	471	337.904	-1	-1	-1	-1
154 491	488	171.214	-1	-1	-1	-1
155 498	491	308.48	-1	-1	-1	-1
156 501	498	66.056	-1	-1	-1	-1
157 534	501	764.038	-1	-1	-1	-1
158 514	501	927.357	-1	-1	-1	-1
159 584	514	961.226	-1	-1	-1	-1
160 555	514	756.352	-1	-1	-1	-1
161 469	498	2248.913	-1	-1	-1	-1
162 527	469	1143.972	-1	-1	-1	-1
163 443	469	818.857	-1	-1	-1	-1
164 425	443	171.315	-1	-1	-1	-1
165 426	425	1.252	-1	-1	-1	-1
166 492	426	1117.339	-1	-1	-1	-1
167 418	426	975.146	-1	-1	-1	-1
168 408	418	296.707	-1	-1	-1	-1
169 395	408	1291.083	-1	-1	-1	-1
170 516	408	2176.447	-1	-1	-1	-1
171 521	418	2022.3	-1	-1	-1	-1
172 426	425	1.252	-1	-1	-1	-1
173 508	443	1044.428	-1	-1	-1	-1
174 423	491	1730.314	-1	-1	-1	-1
175 576	488	1659.545	-1	-1	-1	-1
176 412	434	714.744	-1	-1	-1	-1
177 724	722	41.26	-1	-1	-1	-1
178 737	724	192.134	-1	-1	-1	-1
179 756	737	402.291	-1	-1	-1	-1
180 775	756	1716.343	-1	-1	-1	-1
181 831	775	1485.176	22441	1	-1	-1
182 834	831	48.898	2219	1	22441	1
183 891	834	891.975	22419	1	2219	1
184 941	891	1033.867	-1	-1	22419	1
185 971	941	473.741	-1	-1	-1	-1
186 1034	941	2013.889	-1	-1	-1	-1
187 1172	1034	2930.925	-1	-1	-1	-1
188 1232	1172	1574.54	-1	-1	-1	-1
189 1331	1232	840.863	-1	-1	-1	-1
190 1210	1232	1471.066	18027	1	-1	-1
191 1220	1210	1761.917	17988	1	18027	1
192 1239	1220	283.149	-1	-1	17988	1
193 1235	1239	414.693	17967	1	-1	-1
194 1230	1235	24.565	30614	2	17967	1
195 1236	1230	264.441	-1	-1	30614	2
196 1201	1236	1370.209	17963	1	-1	-1
197 1178	1201	233.497	-1	-1	17963	1
198 1184	1236	532.16	17983	1	-1	-1
199 1168	1184	700.163	17977	1	17983	1
200 1132	1168	379.129	-1	-1	17977	1
201 1294	1239	519.023	-1	-1	-1	-1
202 1356	1294	1670.247	-1	-1	-1	-1
203 1364	1356	281.434	18011	1	-1	-1
204 1411	1364	2295.504	17962	1	18011	1
205 1404	1411	341.973	17984	1	17962	1
206 1381	1404	463.259	-1	-1	17984	1
207 1393	1381	111.044	17960	1	-1	-1
208 1397	1393	63.646	-1	-1	17960	1
209 1455	1397	1493.777	17972	1	-1	-1
210 1461	1455	154.465	-1	-1	17972	1
211 1510	1461	3462.52	17995	1	-1	-1
212 1479	1510	1177.334	17990	1	17995	1
213 1473	1479	63.876	-1	-1	17990	1
214 1520	1473	434.328	17976	1	-1	-1
215 1626	1520	2338.94	-1	-1	17976	1
216 1659	1626	392.131	17463	1	-1	-1
217 1678	1659	155.038	-1	-1	17463	1
218 1785	1678	722.031	-1	-1	-1	-1
219 1811	1785	109.552	17461	1	-1	-1
220 1630	1811	2325.208	17496	1	17461	1
221 1534	1630	2734.764	-1	-1	17496	1
222 1820	1785	278.721	17483	1	-1	-1
223 1843	1820	190.582	-1	-1	17483	1
224 1875	1843	296.006	-1	-1	-1	-1
225 1896	1875	233.078	17501	1	-1	-1
226 1894	1896	976.32	17499	1	17501	1
227 1784	1894	861.851	-1	-1	17499	1
228 2101	1875	2224.984	-1	-1	-1	-1
229 2146	2101	712.713	17512	1	-1	-1
230 2145	2146	6.435	17511	1	17512	1
231 2142	2145	25.313	17510	1	17511	1
232 2143	2142	30.686	17503	1	17510	1
233 2130	2143	977.255	-1	-1	17503	1
234 2141	2130	457.084	-1	-1	-1	-1
235 2144	2141	34.626	17479	1	-1	-1
236 2206	2144	454.727	17493	1	17479	1
