13818 23850	24029	2687.936	-1	-1	-1	-1
13819 24074	24029	165.948	-1	-1	-1	-1
15859 11544	11541	7.755	257	1	1348	1
15860 11657	11544	1075.371	9396	1	257	1
11666 11632	11548	1235.209	24354	1	-1	-1
18226 11477	11548	1260.978	28292	1	-1	-1
15129 19351	19399	267.824	-1	-1	-1	-1
15130 19307	19399	446.366	-1	-1	-1	-1
17530 5970	5983	147.703	-1	-1	13061	1
17535 5961	5980	152.05	13125	1	-1	-1
17542 5981	5980	5.096	13122	1	-1	-1
17543 6069	5981	1078.862	-1	-1	13122	1
14845 22296	22261	318.627	-1	-1	24834	1
13577 22310	22262	339.267	-1	-1	-1	-1
13578 22256	22262	101.78	-1	-1	-1	-1
13576 22262	22264	27.794	-1	-1	-1	-1
13583 22174	22264	225.555	-1	-1	-1	-1
13489 22317	22268	347.913	-1	-1	-1	-1
13490 22240	22268	180.342	-1	-1	-1	-1
14723 25094	25062	282.293	-1	-1	30081	2
14699 25262	25066	957.446	30313	2	11335	1
14722 25062	25068	82.467	30081	2	11296	1
12847 13600	13549	201.803	-1	-1	31433	2
16876 7637	7627	100.669	7655	1	-1	-1
16891 7557	7627	473.842	7671	1	-1	-1
14730 25353	25287	253.957	27751	1	-1	-1
14732 25217	25287	472.071	27777	1	-1	-1
14703 25313	25285	124.005	-1	-1	-1	-1
14704 25278	25285	82.669	-1	-1	-1	-1
13863 25272	25280	41.803	4333	1	-1	-1
13866 25292	25280	36.239	4366	1	-1	-1
13074 17000	16708	1898.422	-1	-1	26278	1
15659 16214	16254	854.722	-1	-1	-1	-1
15670 16242	16254	236.093	-1	-1	-1	-1
14831 22515	22485	81.564	-1	-1	24821	1
18154 12037	12018	214.662	-1	-1	9379	1
12020 12027	12014	435.167	-1	-1	-1	-1
12025 12224	12014	1079.736	-1	-1	-1	-1
15901 12149	12011	926.395	12033	1	12086	1
13173 17267	17257	104.97	19508	1	19507	1
16005 10702	10703	52.387	14994	1	-1	-1
16007 10686	10703	91.328	14993	1	-1	-1
16006 10637	10702	1432.27	-1	-1	14994	1
12069 10680	10700	167.861	15001	1	15003	1
16559 9243	9251	129.855	-1	-1	-1	-1
16563 9140	9251	763.95	-1	-1	-1	-1
13956 24913	24883	170.817	-1	-1	-1	-1
13968 24895	24883	150.563	2162	1	-1	-1
14688 24894	24881	64.693	11322	1	11340	1
13416 21516	21618	277.947	-1	-1	-1	-1
13421 21570	21618	392.124	-1	-1	-1	-1
13298 21727	21617	1787.817	-1	-1	28696	1
13411 21644	21616	441.488	-1	-1	-1	-1
13412 21544	21616	161.624	-1	-1	-1	-1
14817 21490	21610	432.589	24798	1	24815	1
11646 12309	12253	410.43	-1	-1	24359	1
13939 26238	26026	871.229	-1	-1	4369	1
13909 26055	26029	779.384	4331	1	-1	-1
13935 26077	26029	330.308	4383	1	-1	-1
16668 8889	8907	288.349	8625	1	8626	1
14461 22851	22872	1320.476	-1	-1	-1	-1
14465 22932	22872	281.296	28708	1	-1	-1
16939 6995	6978	196.773	7667	1	-1	-1
16942 6910	6978	1129.711	7668	1	-1	-1
12572 16331	16233	582.866	26303	1	26302	1
18133 11953	11952	7.186	1592	1	498	1
12762 14731	14624	606.529	-1	-1	19199	1
13998 21070	21099	204.565	21603	1	-1	-1
13978 24343	24368	213.516	808	1	28723	1
13903 25763	25769	234.822	4336	1	-1	-1
13905 25845	25769	262.405	4373	1	-1	-1
12910 12964	13057	698.052	11487	1	-1	-1
12914 13039	13057	1592.562	-1	-1	-1	-1
12110 12227	12252	299.776	5801	1	5800	1
12427 14738	14688	266.408	-1	-1	-1	-1
12430 14784	14688	736.083	-1	-1	-1	-1
14935 17834	17829	21.717	31655	2	19551	1
15477 17873	17828	592.451	-1	-1	4713	1
12896 12667	12643	267.698	-1	-1	11506	1
15476 17828	17824	12.312	4713	1	780	1
15489 17868	17823	318.781	-1	-1	4722	1
14093 20256	20259	240.746	-1	-1	-1	-1
14094 20154	20259	455.657	-1	-1	-1	-1
14096 20245	20253	83.54	-1	-1	-1	-1
14101 20308	20253	242.796	-1	-1	-1	-1
13519 21718	21731	158.503	-1	-1	-1	-1
13520 21686	21731	131.534	-1	-1	-1	-1
15418 17580	17593	47	-1	-1	-1	-1
15419 17570	17593	354.634	-1	-1	-1	-1
13457 23043	23059	504.122	-1	-1	-1	-1
13458 23102	23059	509.013	-1	-1	-1	-1
13459 23175	23059	944.088	-1	-1	-1	-1
16616 7082	7183	899.112	-1	-1	-1	-1
16617 7170	7183	291.34	-1	-1	-1	-1
17707 7164	7184	614.269	-1	-1	4557	1
17081 6242	6261	765.13	-1	-1	21506	1
16504 8579	8544	819.107	-1	-1	-1	-1
17788 8530	8544	68.03	7307	1	-1	-1
12891 12656	12838	1481.354	-1	-1	11476	1
17694 7448	7457	170.406	-1	-1	4559	1
16603 7353	7452	1338.181	-1	-1	-1	-1
16612 6861	7452	4681.373	-1	-1	-1	-1
14647 23626	23655	132.698	-1	-1	13922	1
17307 4335	4409	461.425	10816	1	10801	1
16953 6661	6645	190.345	-1	-1	7654	1
17234 4729	4736	25.392	-1	-1	10823	1
13929 26645	26568	448.225	-1	-1	4353	1
16838 8289	8293	44.149	-1	-1	8623	1
14677 24756	24704	127.271	-1	-1	2810	1
12393 15054	15002	1297.882	-1	-1	-1	-1
12403 14899	15002	826.143	-1	-1	-1	-1
13500 22091	22019	203.632	-1	-1	-1	-1
13503 22010	22019	110.916	-1	-1	-1	-1
13377 22021	22013	134.246	-1	-1	-1	-1
13380 22115	22013	294.839	-1	-1	-1	-1
13504 21982	22010	463.707	-1	-1	-1	-1
13509 21963	22010	126.807	-1	-1	-1	-1
13646 22095	22017	704.646	-1	-1	-1	-1
13647 22196	22017	990.832	-1	-1	-1	-1
12737 13415	13615	1216.349	-1	-1	-1	-1
12744 13177	13615	2489.435	-1	-1	-1	-1
17170 5831	5841	61.197	-1	-1	17245	1
18229 11122	11283	1076.434	9356	1	9360	1
17782 6490	6539	1133.812	-1	-1	-1	-1
17783 6483	6539	462.82	-1	-1	-1	-1
15889 11289	11286	214.926	-1	-1	-1	-1
15925 11377	11286	368.753	1258	1	-1	-1
14945 17582	17621	2816.072	-1	-1	19549	1
12923 14542	14538	43.923	19147	1	-1	-1
12934 14525	14538	50.913	19149	1	-1	-1
15939 11615	11601	103.957	-1	-1	12015	1
11653 11812	11757	843.272	24350	1	-1	-1
11657 11787	11757	234.683	24378	1	-1	-1
18180 11679	11755	736.658	-1	-1	9310	1
18211 12006	11998	226.622	9312	1	9328	1
11622 11808	11759	295.751	24335	1	-1	-1
11627 11773	11759	644.941	24347	1	-1	-1
15030 19429	19274	1100.918	-1	-1	-1	-1
15231 19298	19274	443.254	-1	-1	-1	-1
14004 20703	20738	398.786	-1	-1	-1	-1
14000 20775	20888	1640.581	21640	1	-1	-1
14385 20850	20888	97.548	-1	-1	-1	-1
17128 5099	5209	1216.712	-1	-1	10842	1
11741 13326	13287	208.991	17444	1	29745	1
16384 11011	11013	11.626	-1	-1	9291	1
16678 8695	8614	749.349	-1	-1	-1	-1
16679 8472	8614	992.638	-1	-1	-1	-1
18149 11994	11995	7.514	1631	1	539	1
18150 11993	11994	6.668	1630	1	1631	1
13696 21315	21282	137.438	-1	-1	-1	-1
13697 21296	21282	541.416	-1	-1	-1	-1
12617 15186	15247	348.777	-1	-1	-1	-1
12618 15220	15247	288.303	-1	-1	-1	-1
13703 21288	21287	120.717	-1	-1	-1	-1
13714 21202	21287	325.874	-1	-1	-1	-1
14170 21453	21285	1075.842	-1	-1	-1	-1
14202 21276	21285	70.57	-1	-1	-1	-1
13704 21361	21288	249.617	-1	-1	-1	-1
13705 21293	21288	104.007	-1	-1	-1	-1
14864 21160	21289	639.445	-1	-1	-1	-1
14865 21298	21289	210.619	24868	1	-1	-1
13265 20199	20088	391.223	21645	1	21642	1
15218 19958	20087	2717.728	-1	-1	21613	1
16196 10242	10390	839.02	22524	1	-1	-1
16234 10209	10390	1566.695	-1	-1	-1	-1
13122 16933	16937	18.045	19491	1	19490	1
13123 16931	16933	88.813	19544	1	19491	1
13124 16928	16931	481.932	19533	1	19544	1
17706 7184	7210	294.172	4557	1	4558	1
16914 7201	7212	327.161	-1	-1	13141	1
16972 7232	7213	474.913	-1	-1	13130	1
12026 12326	12224	1048.255	-1	-1	-1	-1
12027 12374	12224	1017.395	-1	-1	-1	-1
18115 11913	11914	3.34	1561	1	1562	1
18195 12388	12228	1031.377	-1	-1	24372	1
17012 6211	6218	129.571	-1	-1	7681	1
12481 15721	15700	248.279	-1	-1	-1	-1
12482 15687	15700	276.206	-1	-1	-1	-1
12076 10527	10574	195.258	-1	-1	14989	1
14176 21445	21420	539.955	-1	-1	-1	-1
14177 21374	21420	383.318	-1	-1	-1	-1
14178 21309	21420	459.713	-1	-1	-1	-1
