23092 9320	9256	781.081	3851	1	-1	-1
23097 9272	9256	620.904	-1	-1	-1	-1
23145 9084	9255	1292.405	3832	1	-1	-1
23155 9157	9255	1371.842	-1	-1	-1	-1
23047 9774	9757	70.409	-1	-1	-1	-1
23048 9703	9757	490.655	-1	-1	-1	-1
23211 8899	8844	607.432	-1	-1	-1	-1
23214 8786	8844	1238.314	-1	-1	-1	-1
23123 8823	8715	802.135	-1	-1	-1	-1
23124 8768	8715	544.096	-1	-1	-1	-1
23106 9254	9250	213.055	-1	-1	3791	1
23077 9434	9505	821.209	-1	-1	3813	1
23224 8801	8747	260.679	-1	-1	-1	-1
23225 8704	8747	694.323	-1	-1	-1	-1
22968 10704	10769	1949.961	-1	-1	-1	-1
22969 10530	10769	1063.816	-1	-1	-1	-1
23126 8681	8689	155.087	-1	-1	23292	1
23050 9718	9745	228.244	-1	-1	-1	-1
23053 9630	9745	455.746	-1	-1	-1	-1
23056 9767	9770	71.969	-1	-1	-1	-1
23057 9721	9770	175.968	-1	-1	-1	-1
23135 8732	8735	9.869	-1	-1	-1	-1
23137 8732	8735	12.301	-1	-1	-1	-1
23136 8692	8732	804.527	-1	-1	-1	-1
22986 10075	9942	746.516	-1	-1	-1	-1
22991 9907	9942	1152.307	-1	-1	-1	-1
22994 9981	9943	206.483	-1	-1	-1	-1
22995 9938	9943	290.985	-1	-1	-1	-1
22993 9943	9940	28.296	-1	-1	-1	-1
22998 9975	9940	129.535	-1	-1	-1	-1
22979 9850	9947	828.819	-1	-1	-1	-1
23171 10090	9947	1659.734	-1	-1	-1	-1
23021 9556	9563	254.469	3788	1	269	1
23193 9313	9386	533.166	-1	-1	-1	-1
23253 9377	9386	448.501	-1	-1	-1	-1
23020 9563	9624	577.142	269	1	3829	1
22970 10467	10530	954.609	-1	-1	-1	-1
23269 10415	10530	1040.354	-1	-1	-1	-1
23051 9722	9718	95.553	-1	-1	-1	-1
23052 9580	9718	1067.054	-1	-1	-1	-1
23139 9554	9549	56.05	3814	1	-1	-1
23141 9522	9549	1393.827	-1	-1	-1	-1
23242 8870	8887	147.303	-1	-1	-1	-1
23249 8938	8887	380.063	-1	-1	-1	-1
23039 9700	9672	298.359	-1	-1	-1	-1
23040 9617	9672	337.539	-1	-1	-1	-1
22992 9940	9907	268.233	-1	-1	-1	-1
23007 9874	9907	396.403	-1	-1	-1	-1
22978 9947	9905	2727.711	-1	-1	-1	-1
23189 9603	9905	1914.369	-1	-1	-1	-1
23262 9929	9908	74.723	-1	-1	-1	-1
23263 9852	9908	241.208	-1	-1	-1	-1
23264 9782	9908	1185.343	-1	-1	-1	-1
22988 10217	10085	492.505	-1	-1	-1	-1
22989 10110	10085	448.204	-1	-1	-1	-1
22976 10093	10121	73.054	-1	-1	-1	-1
22972 10197	10474	1467.35	-1	-1	-1	-1
23176 10143	10120	152.773	-1	-1	-1	-1
23188 10083	10120	111.763	-1	-1	-1	-1
23113 9023	9111	1097.184	-1	-1	-1	-1
23114 8980	9111	898.236	-1	-1	-1	-1
23173 10285	10256	273.662	-1	-1	-1	-1
23174 10274	10256	82.416	-1	-1	-1	-1
23012 9858	9803	1152.039	-1	-1	-1	-1
23013 9682	9803	1822.068	-1	-1	-1	-1
23019 9624	9656	921.163	3829	1	3801	1
22981 9562	9792	2329.628	-1	-1	-1	-1
22982 9799	9792	135.428	-1	-1	-1	-1
22983 9860	9799	1507.48	-1	-1	-1	-1
23054 9769	9799	255.015	-1	-1	-1	-1
23011 9803	9807	611.046	-1	-1	-1	-1
23026 9744	9807	233.748	-1	-1	-1	-1
23209 8699	8696	45.897	-1	-1	-1	-1
23210 8844	8696	2486.285	-1	-1	-1	-1
23270 10396	10415	656.864	-1	-1	-1	-1
23271 10035	10415	2224.909	-1	-1	-1	-1
23143 9276	9328	658.523	-1	-1	-1	-1
23144 9255	9328	453.357	-1	-1	-1	-1
23094 9314	9322	305.711	3796	1	3802	1
23093 9322	9320	127.884	3802	1	3851	1
23063 9352	9326	161.303	-1	-1	-1	-1
23167 9233	9326	527.261	-1	-1	-1	-1
23085 9335	9327	429.97	31260	2	-1	-1
23090 9245	9327	636.423	-1	-1	-1	-1
23055 9770	9769	155.012	-1	-1	-1	-1
23058 9741	9769	114.114	-1	-1	-1	-1
22975 10121	10160	262.496	-1	-1	-1	-1
23267 10121	10160	119.173	-1	-1	-1	-1
23045 9765	9774	45.909	-1	-1	-1	-1
23070 9516	9425	1195.695	-1	-1	-1	-1
23071 9354	9425	560.932	-1	-1	-1	-1
23082 9413	9424	42.793	3823	1	206	1
23088 9431	9426	170.862	3803	1	3806	1
23157 9066	9109	483.162	-1	-1	-1	-1
23158 9089	9109	1245.461	-1	-1	-1	-1
23115 8891	8980	1839.374	23327	1	-1	-1
23117 8958	8980	711.835	-1	-1	-1	-1
23078 9473	9434	502.064	229	1	-1	-1
23081 9424	9434	60.355	206	1	-1	-1
23032 9821	9835	406.568	-1	-1	-1	-1
23049 9745	9835	332.802	-1	-1	-1	-1
23129 8679	8660	111.935	-1	-1	-1	-1
23130 8635	8660	266.75	-1	-1	-1	-1
23236 8610	8662	700.475	-1	-1	-1	-1
23237 8609	8662	831.934	-1	-1	-1	-1
23105 9250	9234	159.344	3791	1	3850	1
23220 8826	8788	242.388	-1	-1	-1	-1
23219 8788	8783	117.076	-1	-1	-1	-1
23221 8774	8783	60.684	-1	-1	-1	-1
23218 8783	8780	347.839	-1	-1	-1	-1
23230 8737	8780	222.378	-1	-1	-1	-1
