4614 11545	11542	5.012	988	1	256	1
10815 11552	11543	41.505	-1	-1	22985	1
4613 11542	11540	3.799	256	1	1347	1
15859 11544	11541	7.755	257	1	1348	1
22689 11666	11546	519.304	-1	-1	15151	1
22706 11625	11547	548.022	-1	-1	-1	-1
22725 11524	11547	769.007	15154	1	-1	-1
15860 11657	11544	1075.371	9396	1	257	1
4615 11569	11545	78.986	23587	1	988	1
11666 11632	11548	1235.209	24354	1	-1	-1
18226 11477	11548	1260.978	28292	1	-1	-1
4600 11742	11549	1071.155	-1	-1	15157	1
21760 5815	5989	1617.219	-1	-1	-1	-1
21761 5960	5989	230.492	6215	1	-1	-1
15129 19351	19399	267.824	-1	-1	-1	-1
15130 19307	19399	446.366	-1	-1	-1	-1
17530 5970	5983	147.703	-1	-1	13061	1
17543 6069	5981	1078.862	-1	-1	13122	1
21203 5975	5986	111.925	14048	1	-1	-1
21205 5876	5986	853.198	-1	-1	-1	-1
6570 20069	19979	676.564	5239	1	-1	-1
6584 19933	19979	758.7	5240	1	-1	-1
6884 16674	16700	100.065	19827	1	297	1
9989 16776	16703	511.846	17266	1	-1	-1
10104 16688	16703	51.869	-1	-1	-1	-1
10111 16731	16702	109.804	17339	1	298	1
10838 12024	12019	381.534	-1	-1	12254	1
18154 12037	12018	214.662	-1	-1	9379	1
5000 12048	12015	333.066	8302	1	30641	2
12020 12027	12014	435.167	-1	-1	-1	-1
12025 12224	12014	1079.736	-1	-1	-1	-1
15901 12149	12011	926.395	12033	1	12086	1
19559 12079	12010	363.669	-1	-1	22988	1
10840 12041	12013	709.774	12216	1	-1	-1
10851 12090	12013	776.056	-1	-1	-1	-1
11270 12379	12012	2389.02	30427	2	-1	-1
11274 11947	12012	358.135	-1	-1	-1	-1
7006 17261	17258	57.885	-1	-1	-1	-1
7010 17399	17258	1409.283	-1	-1	-1	-1
5467 17255	17259	164.682	-1	-1	25897	1
10016 17323	17252	553.89	-1	-1	-1	-1
10101 17241	17252	450.863	-1	-1	-1	-1
9905 17245	17253	276.907	-1	-1	17372	1
7005 17258	17256	11.842	-1	-1	12725	1
13173 17267	17257	104.97	19508	1	19507	1
19602 10692	10709	133.005	13625	1	13700	1
11333 10798	10708	1639.391	12874	1	-1	-1
11569 10643	10708	430.98	12870	1	-1	-1
19968 9269	9259	115.125	-1	-1	-1	-1
19995 9269	9259	125.27	-1	-1	-1	-1
16005 10702	10703	52.387	14994	1	-1	-1
16007 10686	10703	91.328	14993	1	-1	-1
16006 10637	10702	1432.27	-1	-1	14994	1
11339 10772	10701	1859.613	12867	1	12868	1
12069 10680	10700	167.861	15001	1	15003	1
11353 10673	10707	262.351	28295	1	-1	-1
11502 10620	10707	472.586	28296	1	-1	-1
16396 10698	10705	65.054	-1	-1	9281	1
16559 9243	9251	129.855	-1	-1	-1	-1
16563 9140	9251	763.95	-1	-1	-1	-1
13416 21516	21618	277.947	-1	-1	-1	-1
13421 21570	21618	392.124	-1	-1	-1	-1
8184 21661	21614	298.865	-1	-1	18690	1
13298 21727	21617	1787.817	-1	-1	28696	1
13411 21644	21616	441.488	-1	-1	-1	-1
13412 21544	21616	161.624	-1	-1	-1	-1
6359 21550	21611	282.384	31563	2	5214	1
14817 21490	21610	432.589	24798	1	24815	1
17535 5961	5980	152.05	13125	1	-1	-1
17542 5981	5980	5.096	13122	1	-1	-1
10943 13081	13058	292.806	4000	1	4057	1
22661 13016	13053	492.899	-1	-1	-1	-1
22662 13122	13053	469.731	-1	-1	-1	-1
4861 13060	13051	524.31	23668	1	23552	1
18364 13075	13056	519.25	-1	-1	3997	1
12910 12964	13057	698.052	11487	1	-1	-1
12914 13039	13057	1592.562	-1	-1	-1	-1
19543 13068	13055	68.552	15384	1	15381	1
14093 20256	20259	240.746	-1	-1	-1	-1
14094 20154	20259	455.657	-1	-1	-1	-1
14096 20245	20253	83.54	-1	-1	-1	-1
14101 20308	20253	242.796	-1	-1	-1	-1
7063 20263	20250	279.022	20307	1	-1	-1
7073 20372	20250	440.062	20308	1	-1	-1
8293 20090	20257	599.111	26888	1	-1	-1
8295 20234	20257	285.483	-1	-1	-1	-1
8788 23517	23506	76.587	29687	1	29679	1
8543 23503	23505	4.184	23399	1	-1	-1
8545 23529	23505	106.794	-1	-1	-1	-1
8544 23480	23503	155.352	-1	-1	23399	1
8542 23505	23502	2.844	-1	-1	23400	1
18483 12948	12833	758.472	2121	1	-1	-1
18488 12872	12833	1009.64	14845	1	-1	-1
10610 12851	12831	200.704	-1	-1	-1	-1
10611 12861	12831	1561.172	-1	-1	-1	-1
19477 12848	12830	140.914	-1	-1	-1	-1
19547 12875	12830	217.256	-1	-1	-1	-1
4732 12910	12836	348.214	-1	-1	-1	-1
4745 12815	12836	204.737	-1	-1	-1	-1
4992 12856	12835	77.696	15382	1	15383	1
4872 13017	12834	861.919	23590	1	30141	2
20011 8341	8545	1271.097	27375	1	27434	1
16504 8579	8544	819.107	-1	-1	-1	-1
17788 8530	8544	68.03	7307	1	-1	-1
10625 12938	12839	563.528	-1	-1	-1	-1
10628 12984	12839	932.271	-1	-1	-1	-1
12891 12656	12838	1481.354	-1	-1	11476	1
