stream    uID     dID     (downstream is subnetwork root relative to upstream)
4614 	 11545 	 11542
10815 	 11552 	 11543
4613 	 11542 	 11540
15859 	 11544 	 11541
22689 	 11666 	 11546
22706 	 11625 	 11547
22725 	 11524 	 11547
15860 	 11657 	 11544
4615 	 11569 	 11545
11666 	 11632 	 11548
18226 	 11477 	 11548
4600 	 11742 	 11549
21760 	 5815 	 5989
21761 	 5960 	 5989
15129 	 19351 	 19399
15130 	 19307 	 19399
17530 	 5970 	 5983
17543 	 6069 	 5981
21203 	 5975 	 5986
21205 	 5876 	 5986
6570 	 20069 	 19979
6584 	 19933 	 19979
6884 	 16674 	 16700
9989 	 16776 	 16703
10104 	 16688 	 16703
10111 	 16731 	 16702
10838 	 12024 	 12019
18154 	 12037 	 12018
5000 	 12048 	 12015
12020 	 12027 	 12014
12025 	 12224 	 12014
15901 	 12149 	 12011
19559 	 12079 	 12010
10840 	 12041 	 12013
10851 	 12090 	 12013
11270 	 12379 	 12012
11274 	 11947 	 12012
7006 	 17261 	 17258
7010 	 17399 	 17258
5467 	 17255 	 17259
10016 	 17323 	 17252
10101 	 17241 	 17252
9905 	 17245 	 17253
7005 	 17258 	 17256
13173 	 17267 	 17257
19602 	 10692 	 10709
11333 	 10798 	 10708
11569 	 10643 	 10708
19968 	 9269 	 9259
19995 	 9269 	 9259
16005 	 10702 	 10703
16007 	 10686 	 10703
16006 	 10637 	 10702
11339 	 10772 	 10701
12069 	 10680 	 10700
11353 	 10673 	 10707
11502 	 10620 	 10707
16396 	 10698 	 10705
16559 	 9243 	 9251
16563 	 9140 	 9251
13416 	 21516 	 21618
13421 	 21570 	 21618
8184 	 21661 	 21614
13298 	 21727 	 21617
13411 	 21644 	 21616
13412 	 21544 	 21616
6359 	 21550 	 21611
14817 	 21490 	 21610
17535 	 5961 	 5980
17542 	 5981 	 5980
10943 	 13081 	 13058
22661 	 13016 	 13053
22662 	 13122 	 13053
22663 	 13038 	 13053
4861 	 13060 	 13051
18364 	 13075 	 13056
12910 	 12964 	 13057
12914 	 13039 	 13057
19543 	 13068 	 13055
14093 	 20256 	 20259
14094 	 20154 	 20259
14096 	 20245 	 20253
14101 	 20308 	 20253
7063 	 20263 	 20250
7073 	 20372 	 20250
8293 	 20090 	 20257
8295 	 20234 	 20257
8788 	 23517 	 23506
8543 	 23503 	 23505
8545 	 23529 	 23505
8555 	 23651 	 23505
8544 	 23480 	 23503
8542 	 23505 	 23502
18483 	 12948 	 12833
18488 	 12872 	 12833
10610 	 12851 	 12831
10611 	 12861 	 12831
19477 	 12848 	 12830
19547 	 12875 	 12830
4732 	 12910 	 12836
4745 	 12815 	 12836
4992 	 12856 	 12835
4872 	 13017 	 12834
20011 	 8341 	 8545
16504 	 8579 	 8544
17788 	 8530 	 8544
10625 	 12938 	 12839
10628 	 12984 	 12839
12891 	 12656 	 12838
21797 	 8433 	 8541
21799 	 8520 	 8541
18864 	 8529 	 8543
20025 	 8568 	 8542
5394 	 16863 	 16887
6879 	 16774 	 16887
5856 	 22780 	 22679
8746 	 22731 	 22671
8748 	 22657 	 22671
16589 	 8219 	 8291
16620 	 8076 	 8291
13929 	 26645 	 26568
19320 	 8161 	 8290
19321 	 8182 	 8290
16838 	 8289 	 8293
19214 	 8268 	 8292
18924 	 8210 	 8295
18929 	 8303 	 8295
20014 	 8344 	 8296
20027 	 8282 	 8296
21434 	 3744 	 3748
21437 	 3620 	 3748
21435 	 3698 	 3744
8210 	 21953 	 21934
8130 	 20083 	 19972
7946 	 20085 	 19971
7371 	 16652 	 16709
13074 	 17000 	 16708
10247 	 15725 	 15708
7518 	 15705 	 15709
7527 	 15857 	 15709
12481 	 15721 	 15700
12482 	 15687 	 15700
7684 	 15698 	 15702
7512 	 15744 	 15704
7513 	 15688 	 15704
7519 	 15824 	 15705
7522 	 15774 	 15705
6961 	 15703 	 15706
20426 	 6824 	 6816
20483 	 6792 	 6816
23047 	 9774 	 9757
23048 	 9703 	 9757
9933 	 16684 	 16705
11446 	 9720 	 9755
19835 	 9748 	 9754
19890 	 9750 	 9753
9951 	 16668 	 16704
9966 	 16717 	 16704
7785 	 16778 	 16707
11604 	 9716 	 9759
11522 	 9742 	 9758
8984 	 24187 	 24146
